assists,champLevel,combatPlayerScore,creepsPerMinDeltas_0-10,creepsPerMinDeltas_10-20,creepsPerMinDeltas_20-30,creepsPerMinDeltas_30-end,csDiffPerMinDeltas_0-10,csDiffPerMinDeltas_10-20,csDiffPerMinDeltas_20-30,csDiffPerMinDeltas_30-end,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_30-end,damageTakenPerMinDeltas_0-10,damageTakenPerMinDeltas_10-20,damageTakenPerMinDeltas_20-30,damageTakenPerMinDeltas_30-end,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldPerMinDeltas_0-10,goldPerMinDeltas_10-20,goldPerMinDeltas_20-30,goldPerMinDeltas_30-end,goldSpent,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,participantId,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,quadraKills,sightWardsBoughtInGame,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_30-end,xpPerMinDeltas_0-10,xpPerMinDeltas_10-20,xpPerMinDeltas_20-30,xpPerMinDeltas_30-end,DUO,DUO_CARRY,DUO_SUPPORT,NO_ROLE,SOLO,BOTTOM,JUNGLE,MIDDLE,NO_LANE,TOP
16.0,12.0,0.0,5.1,0.0,0.0,0.0,4.800000000000002,0.0,0.0,0.0,4624.0,4624.0,4268.0,-205.3,0.0,0.0,0.0,388.2,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,8012.0,496.3,0.0,0.0,0.0,2850.0,0.0,1054.0,3044.0,3067.0,1001.0,0.0,0.0,3340.0,1.0,13.0,456.0,13.0,1.0,0.0,3005.0,2392.0,1005.0,0.0,0.0,0.0,0.0,4.0,0.0,8400.0,8200.0,48136.0,11330.0,7246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,51142.0,13723.0,8252.0,1128.0,63.0,0.0,0.0,274.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,371.20000000000016,0.0,0.0,0.0,583.9000000000002,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0
4.0,11.0,0.0,3.5,0.0,0.0,0.0,1.7200000000000002,0.0,0.0,0.0,1885.0,1885.0,5206.0,-200.00000000000003,0.0,0.0,0.0,478.0,0.0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,9014.0,318.3,0.0,0.0,0.0,8850.0,0.0,3142.0,3147.0,3111.0,1043.0,1036.0,1055.0,3340.0,2.0,13.0,0.0,9.0,2.0,654.0,968.0,888.0,3374.0,4.0,4.0,0.0,0.0,2.0,0.0,8100.0,8000.0,46817.0,12594.0,7109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,52490.0,13817.0,11503.0,3662.0,58.0,0.0,0.0,123.0,1.0,0.0,4704.0,334.0,1019.0,0.0,0.0,3.0,0.0,0.0,3.0,1,84.65999999999998,0.0,0.0,0.0,363.9,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0
10.0,13.0,0.0,0.8,3.6,0.0,0.0,0.0,0.0,0.0,0.0,6838.0,5972.0,11147.0,0.0,0.0,0.0,0.0,564.3,862.0999999999997,0.0,0.0,2.0,0.0,0,0,1,0,0,0,10869.0,353.0,412.7,0.0,0.0,6800.0,0.0,2003.0,1055.0,3133.0,3071.0,3076.0,3086.0,3340.0,3.0,10.0,499.0,5.0,1.0,419.0,1229.0,288.0,2291.0,16.0,0.0,13.0,0.0,2.0,0.0,8100.0,8000.0,67383.0,10907.0,14573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,70890.0,11789.0,16942.0,8791.0,50.0,0.0,0.0,145.0,1.0,0.0,2277.0,593.0,77.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,331.8,464.2,0.0,0.0,0,0,0,1,0,0,1,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5089.0,100.0,164.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8400.0,8200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1
7.0,17.0,0.0,4.1,4.0,3.1,0.0,4.1,4.0,3.0,0.0,12430.0,5835.0,24460.0,460.6,526.1,1591.4,0.0,460.6,526.1,1680.6,0.0,0.0,4.0,0,0,1,0,0,0,13502.0,291.5,357.5,649.7,0.0,7200.0,0.0,3044.0,3044.0,3111.0,1054.0,1036.0,3065.0,3340.0,1.0,18.0,0.0,18.0,4.0,0.0,2836.0,2836.0,8021.0,12.0,0.0,12.0,0.0,5.0,0.0,8400.0,8200.0,105334.0,27625.0,18651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,114535.0,32503.0,26673.0,8576.0,112.0,0.0,0.0,88.0,3.0,2.0,6365.0,2041.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1,538.6,429.1,783.3,0.0,538.6,429.1,806.5,0.0,0,0,0,1,0,0,1,0,0,0
7.0,15.0,0.0,3.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,2130.0,16903.0,0.0,0.0,0.0,0.0,321.5,740.3,0.0,0.0,5.0,3.0,0,0,1,0,0,0,12784.0,386.4,518.8,0.0,0.0,12200.0,0.0,3072.0,3046.0,1029.0,3006.0,3031.0,0.0,3340.0,3.0,14.0,665.0,7.0,2.0,780.0,6271.0,704.0,6075.0,12.0,8.0,4.0,0.0,5.0,0.0,8000.0,8200.0,106662.0,30303.0,11636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,112934.0,31008.0,18013.0,1967.0,109.0,0.0,0.0,110.0,1.0,0.0,0.0,0.0,301.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,350.7,705.9,0.0,0.0,1,0,0,0,0,0,0,1,0,0
2.0,18.0,0.0,1.8,5.7,0.0,0.0,-0.2499999999999999,2.35,0.0,0.0,16956.0,16956.0,5738.0,-84.0,-484.45,0.0,0.0,267.4,432.3,0.0,0.0,1.0,11.0,0,0,0,1,0,0,20020.0,208.0,602.3,0.0,0.0,13950.0,1.0,3802.0,3020.0,3165.0,3100.0,3089.0,3041.0,3340.0,2.0,36.0,0.0,20.0,4.0,1264.0,178774.0,62291.0,8687.0,4.0,4.0,0.0,0.0,4.0,0.0,8200.0,8100.0,17580.0,4674.0,7084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,201461.0,66999.0,15771.0,1961.0,169.0,0.0,0.0,500.0,2.0,4.0,5106.0,34.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,1,25.349999999999994,323.15,0.0,0.0,262.4,674.9,0.0,0.0,1,0,0,0,0,0,0,0,0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,-208.23999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3086.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8400.0,8200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0
4.0,13.0,0.0,5.3,0.0,0.0,0.0,2.3199999999999994,0.0,0.0,0.0,3762.0,3762.0,12535.0,-91.77999999999996,0.0,0.0,0.0,305.9,0.0,0.0,0.0,1.0,8.0,0,1,0,0,0,0,13419.0,531.9,0.0,0.0,0.0,12350.0,0.0,3071.0,3111.0,3046.0,3065.0,3025.0,0.0,3340.0,1.0,28.0,611.0,27.0,4.0,1014.0,1679.0,1679.0,2887.0,20.0,8.0,12.0,0.0,2.0,0.0,8400.0,8200.0,92453.0,26232.0,13350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,97615.0,31002.0,16237.0,7475.0,98.0,0.0,0.0,359.0,2.0,3.0,3482.0,3090.0,0.0,2.0,0.0,6.0,0.0,0.0,5.0,1,200.12,0.0,0.0,0.0,479.5,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0
15.0,11.0,0.0,4.4,0.0,0.0,0.0,2.66,0.0,0.0,0.0,6152.0,6152.0,3198.0,-113.14,0.0,0.0,0.0,361.0,0.0,0.0,0.0,1.0,2.0,0,0,1,0,0,0,11480.0,468.8,0.0,0.0,0.0,6600.0,0.0,1055.0,3508.0,3006.0,3086.0,1042.0,0.0,3340.0,2.0,17.0,526.0,14.0,2.0,487.0,1267.0,365.0,1197.0,12.0,4.0,8.0,0.0,5.0,0.0,8000.0,8200.0,60952.0,19885.0,5944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,67233.0,21103.0,7142.0,2062.0,87.0,0.0,0.0,339.0,1.0,0.0,5014.0,852.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1,274.9,0.0,0.0,0.0,386.9,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0
